periodo,cip,millonesdedolares
2015-08,Los Cabos  ,56.91
2015-08,Nayarit,27.27
2015-08,Ixtapa  ,3.68
2015-08,Huatulco  ,1.01
2015-08,Loreto  ,1.36
2015-07,Cancun  ,226.77
2015-07,Los Cabos  ,63.71
2015-07,Nayarit,31.46
2015-07,Ixtapa  ,3.64
2015-07,Huatulco  ,1.38
2015-07,Loreto  ,1.56
2015-06,Cancun  ,334.89
2015-06,Los Cabos  ,67.61
2015-06,Nayarit,32.17
2015-06,Ixtapa  ,3.13
2015-06,Huatulco  ,1.11
2015-06,Loreto  ,1.24
2015-05,Cancun  ,316.99
2015-05,Los Cabos  ,70.11
2015-05,Nayarit,32.2
2015-05,Ixtapa  ,3.11
2015-05,Huatulco  ,1.24
2015-05,Loreto  ,1.84
2015-04,Cancun  ,418
2015-04,Los Cabos  ,74.8
2015-04,Nayarit,41.13
2015-04,Ixtapa  ,10.86
2015-04,Huatulco  ,2.56
2015-04,Loreto  ,2.27
2015-03,Cancun  ,469.88
2015-03,Los Cabos  ,80.24
2015-03,Nayarit,48.16
2015-03,Ixtapa  ,23.84
2015-03,Huatulco  ,8.09
2015-03,Loreto  ,2.75
2015-02,Cancun  ,457.84
2015-02,Los Cabos  ,70.51
2015-02,Nayarit,45.57
2015-02,Ixtapa  ,26.73
2015-02,Huatulco  ,8.12
2015-02,Loreto  ,1.99
2015-01,Cancun  ,404.9
2015-01,Los Cabos  ,72.02
2015-01,Nayarit,55.33
2015-01,Ixtapa  ,19.98
2015-01,Huatulco  ,6.73
2015-01,Loreto  ,1.6
2014-12,Cancun  ,191.02
2014-12,Los Cabos  ,48.88
2014-12,Nayarit,38.83
2014-12,Ixtapa  ,7.18
2014-12,Huatulco  ,4.46
2014-12,Loreto  ,0.98
2014-11,Cancun  ,231.76
2014-11,Los Cabos  ,37.29
2014-11,Nayarit,38.37
2014-11,Ixtapa  ,4.38
2014-11,Huatulco  ,3.87
2014-11,Loreto  ,1.3
2014-10,Cancun  ,192.45
2014-10,Los Cabos  ,11.67
2014-10,Nayarit,27.35
2014-10,Ixtapa  ,1.74
2014-10,Huatulco  ,1.58
2014-10,Loreto  ,0.57
2014-09,Cancun  ,177.2
2014-09,Los Cabos  ,32.4
2014-09,Nayarit,21.53
2014-09,Ixtapa  ,1.13
2014-09,Huatulco  ,0.69
2014-09,Loreto  ,1.24
2014-08,Cancun  ,393.87
2014-08,Los Cabos  ,74.19
2014-08,Nayarit,29.66
2014-08,Ixtapa  ,1.84
2014-08,Huatulco  ,1.23
2014-08,Loreto  ,1.56
2014-07,Cancun  ,233.05
2014-07,Los Cabos  ,89.99
2014-07,Nayarit,33.65
2014-07,Ixtapa  ,2.88
2014-07,Huatulco  ,1.48
2014-07,Loreto  ,2.07
2014-06,Cancun  ,307.06
2014-06,Los Cabos  ,86.96
2014-06,Nayarit,29.13
2014-06,Ixtapa  ,1.9
2014-06,Huatulco  ,0.96
2014-06,Loreto  ,1.65
2014-05,Cancun  ,312.75
2014-05,Los Cabos  ,86.23
2014-05,Nayarit,29.91
2014-05,Ixtapa  ,2.17
2014-05,Huatulco  ,2.57
2014-05,Loreto  ,1.58
2014-04,Cancun  ,354.41
2014-04,Los Cabos  ,91.52
2014-04,Nayarit,31.26
2014-04,Ixtapa  ,3.91
2014-04,Huatulco  ,3.07
2014-04,Loreto  ,2.36
2014-03,Cancun  ,405.04
2014-03,Los Cabos  ,117.24
2014-03,Nayarit,46.84
2014-03,Ixtapa  ,8.99
2014-03,Huatulco  ,5.17
2014-03,Loreto  ,3.32
2014-02,Cancun  ,345.16
2014-02,Los Cabos  ,91.96
2014-02,Nayarit,37.53
2014-02,Ixtapa  ,26.7
2014-02,Huatulco  ,5.25
2014-02,Loreto  ,2.35
2014-01,Cancun  ,276.29
2014-01,Los Cabos  ,74.95
2014-01,Nayarit,35.15
2014-01,Ixtapa  ,15.88
2014-01,Huatulco  ,5.49
2014-01,Loreto  ,1.66
2013-12,Cancun  ,166.83
2013-12,Los Cabos  ,72.54
2013-12,Nayarit,25.01
2013-12,Ixtapa  ,6.04
2013-12,Huatulco  ,4
2013-12,Loreto  ,1.11
2013-11,Cancun  ,158.03
2013-11,Los Cabos  ,66.65
2013-11,Nayarit,22.5
2013-11,Ixtapa  ,3.66
2013-11,Huatulco  ,2.21
2013-11,Loreto  ,1.51
2013-10,Cancun  ,135.85
2013-10,Los Cabos  ,71.23
2013-10,Nayarit,14.86
2013-10,Ixtapa  ,1.42
2013-10,Huatulco  ,0.69
2013-10,Loreto  ,1.88
2013-09,Cancun  ,133.26
2013-09,Los Cabos  ,45.5
2013-09,Nayarit,12.52
2013-09,Ixtapa  ,0.65
2013-09,Huatulco  ,0.58
2013-09,Loreto  ,1.25
2013-08,Cancun  ,166.7
2013-08,Los Cabos  ,67.28
2013-08,Nayarit,15.78
2013-08,Ixtapa  ,1.97
2013-08,Huatulco  ,1.14
2013-08,Loreto  ,1.5
2013-07,Cancun  ,129.09
2013-07,Los Cabos  ,81.42
2013-07,Nayarit,19.13
2013-07,Ixtapa  ,3.44
2013-07,Huatulco  ,1.15
2013-07,Loreto  ,1.61
2013-06,Cancun  ,210.09
2013-06,Los Cabos  ,64
2013-06,Nayarit,18.13
2013-06,Ixtapa  ,2.16
2013-06,Huatulco  ,1.05
2013-06,Loreto  ,1.58
2013-05,Cancun  ,157.7
2013-05,Los Cabos  ,64.47
2013-05,Nayarit,15.6
2013-05,Ixtapa  ,2.26
2013-05,Huatulco  ,1.06
2013-05,Loreto  ,1.46
2013-04,Cancun  ,169.72
2013-04,Los Cabos  ,70.52
2013-04,Nayarit,18.48
2013-04,Ixtapa  ,3.63
2013-04,Huatulco  ,2.81
2013-04,Loreto  ,1.82
2013-03,Cancun  ,243.99
2013-03,Los Cabos  ,93.37
2013-03,Nayarit,34.19
2013-03,Ixtapa  ,10.08
2013-03,Huatulco  ,5.88
2013-03,Loreto  ,2.38
2013-02,Cancun  ,255.65
2013-02,Los Cabos  ,73.65
2013-02,Nayarit,25.99
2013-02,Ixtapa  ,10.26
2013-02,Huatulco  ,6.56
2013-02,Loreto  ,2.16
2013-01,Cancun  ,274.02
2013-01,Los Cabos  ,66.15
2013-01,Nayarit,26.71
2013-01,Ixtapa  ,10.2
2013-01,Huatulco  ,6.76
2013-01,Loreto  ,1.43
2012-12,Cancun  ,190.88
2012-12,Los Cabos  ,63.54
2012-12,Nayarit,ND
2012-12,Ixtapa  ,4.9
2012-12,Huatulco  ,3.6
2012-12,Loreto  ,1.31
2012-11,Cancun  ,168.92
2012-11,Los Cabos  ,65
2012-11,Nayarit,ND
2012-11,Ixtapa  ,2.63
2012-11,Huatulco  ,2.09
2012-11,Loreto  ,2.57
2012-10,Cancun  ,131.31
2012-10,Los Cabos  ,54.4
2012-10,Nayarit,ND
2012-10,Ixtapa  ,1.35
2012-10,Huatulco  ,0.55
2012-10,Loreto  ,1.93
2012-09,Cancun  ,127.15
2012-09,Los Cabos  ,37.28
2012-09,Nayarit,ND
2012-09,Ixtapa  ,1.39
2012-09,Huatulco  ,0.86
2012-09,Loreto  ,1.14
2012-08,Cancun  ,157.82
2012-08,Los Cabos  ,47.02
2012-08,Nayarit,ND
2012-08,Ixtapa  ,2.02
2012-08,Huatulco  ,0.93
2012-08,Loreto  ,2.02
2012-07,Cancun  ,127.31
2012-07,Los Cabos  ,51.66
2012-07,Nayarit,ND
2012-07,Ixtapa  ,4.82
2012-07,Huatulco  ,1.72
2012-07,Loreto  ,2.09
2012-06,Cancun  ,132.49
2012-06,Los Cabos  ,49.32
2012-06,Nayarit,ND
2012-06,Ixtapa  ,1.69
2012-06,Huatulco  ,1.12
2012-06,Loreto  ,1.2
2012-05,Cancun  ,157.08
2012-05,Los Cabos  ,55.49
2012-05,Nayarit,ND
2012-05,Ixtapa  ,2.17
2012-05,Huatulco  ,0.95
2012-05,Loreto  ,1.19
2012-04,Cancun  ,146.72
2012-04,Los Cabos  ,61.42
2012-04,Nayarit,ND
2012-04,Ixtapa  ,3.62
2012-04,Huatulco  ,2.93
2012-04,Loreto  ,1.35
2012-03,Cancun  ,192.37
2012-03,Los Cabos  ,76.45
2012-03,Nayarit,ND
2012-03,Ixtapa  ,7.09
2012-03,Huatulco  ,3.72
2012-03,Loreto  ,1.62
2012-02,Cancun  ,183.27
2012-02,Los Cabos  ,69.01
2012-02,Nayarit,ND
2012-02,Ixtapa  ,7.81
2012-02,Huatulco  ,4
2012-02,Loreto  ,1.83
2012-01,Cancun  ,171.64
2012-01,Los Cabos  ,56.18
2012-01,Nayarit,ND
2012-01,Ixtapa  ,5.26
2012-01,Huatulco  ,4.2
2012-01,Loreto  ,1.18
2011-12,Cancun  ,139.98
2011-12,Los Cabos  ,48.23
2011-12,Nayarit,ND
