Ano,Visitante Crucero
1998,2855065
1999,3104046
2000,3477554
2001,3701774
2002,5155061
2003,6939072
2004,8746906
2005,8953855
2006,8661449
2007,6481693
2008,6137953
2009,5406982
2010,4980674
2011,4586942
2012,4097054
2013,3631950
2014,4653564
2015,4708081
2016,5158329
2017,5970959
